,UNV069,,Meadow Valley Mountains Vitrophyre,Meadow Valley Mountains Vitrophyre C,,,,,,
,UNV070,,Meadow Valley Mountains Vitrophyre,Meadow Valley Mountains Vitrophyre D,,,,,,
,GRE006,x,Melos,Melos-Adamas,,,,,,
,GRE007,,Melos,Melos-Dhemengaki,,,,,,
,GRE010,,Melos,Melos Group General,,,,,,
,UCA045,x,Mono Glass Mountain,Mono Glass Mountain Group General,,,,,,
,UCA067,,Mono Glass Mountain,Mono Glass Mountain 1,,,,,,
,UCA068,,Mono Glass Mountain,Mono Glass Mountain 2,,,,,,
,UCA069,,Mono Glass Mountain,Mono Glass Mountain 3,,,,,,
,ITL002,x,Monte Arci,Monte Arci - Conca Cannas,,,,,,
,ITL003,,Monte Arci,Monte Arci - Crucuc Island Abis,,,,,,
,ITL004,,Monte Arci,Monte Arci - Perdas Urias,,,,,,
,ITL012,,Monte Arci,Monte Arci - Punta Nigola Pani,,,,,,
,ITL018,,Monte Arci,Monte Arci - Santa Maria Zuarbara,,,,,,
,MAL004,x,Mount Rano,Mount Rano SW,,,,,,
,MAL005,,Mount Rano,Mount Rano W,,,,,,
,TNZ001,x,Mt. Kilimanjaro,Mt. Kilimanjaro #1,,,,,,
,TNZ002,,Mt. Kilimanjaro,Mt. Kilimanjaro #2,,,,,,
,TNZ004,,Mt. Kilimanjaro,Mt. Kilimanjaro Group General,,,,,,
,JVA001,x,Nagrek,Nagrek A,,,,,,
,JVA002,,Nagrek,Nagrek B,,,,,,
,JVA003,,Nagrek,Nagrek Group General,,,,,,
,MEX054,x,Navajas,Navajas Group General,,,,,,
,MEX091,,Navajas,Navajas 1,,,,,,
,MEX092,,Navajas,Navajas 2,,,,,,
,KEN073,x,Ndiema Suregei,Ndiema Suregei Source 2,,,,,,
,KEN074,,Ndiema Suregei,Ndiema Suregei Source 3,,,,,,
,KEN075,,Ndiema Suregei,Ndiema Suregei Source 4,,,,,,
,KEN076,,Ndiema Suregei,Ndiema Suregei Source 5,,,,,,
,KEN077,,Ndiema Suregei,Ndiema Suregei Source 6,,,,,,
,KEN087,,Ndiema Suregei,Ndiema Suregei Group General,,,,,,
,TKY023,x,Nemrut Dag,Nemrut Dag I,,,,,,
,TKY025,,Nemrut Dag,Nemrut Dag II,,,,,,
,TKY026,,Nemrut Dag,Nemrut Dag III,,,,,,
,TKY027,,Nemrut Dag,Nemrut Dag IV,,,,,,
,TKY028,,Nemrut Dag,Nemrut Dag V,,,,,,
,TKY057,,Nemrut Dag,Nemrut Dag Group General,,,,,,
,TKY061,,Nemrut Dag,Nemrut Dag VI,,,,,,
,UNM020,x,No Agua Peaks,No Aqua Peaks North Hill,,,,,,
,UNM021,,No Agua Peaks,No Aqua Peaks West Hill,,,,,,
,KEN059,x,North Island,North Island 1,,,,,,
,KEN060,,North Island,North Island 2,,,,,,
,KEN061,,North Island,North Island 3,,,,,,
,KEN062,,North Island,North Island 4,,,,,,
,KEN065,,North Island,North Island Group General,,,,,,
,chi008,x,Northeast Source,,,,,,,
,chi009,,Northeast Source,,,,,,,
,chi010,,Northeast Source,,,,,,,
,UNV041,x,Obsidian Butte,Obsidian Butte Variety 1,,,,,,
,UNV042,,Obsidian Butte,Obsidian Butte Variety 2,,,,,,
,UNV043,,Obsidian Butte,Obsidian Butte Variety 3,,,,,,
,UNV044,,Obsidian Butte,Obsidian Butte Variety 4,,,,,,
,UNV045,,Obsidian Butte,Obsidian Butte Variety 5,,,,,,
,JPN035,x,Oketo,Oketo Group General,,,,,,
,JPN095,,Oketo,Oketo I,,,,,,
,JPN096,,Oketo,Oketo II,,,,,,
,JPN097,,Oketo,Oketo III,,,,,,
,JPN098,,Oketo,Oketo IV,,,,,,
,JPN099,,Oketo,Oketo V,,,,,,
,JPN036,x,Oki,Oki Group General,,,,,,
,JPN101,,Oki,Oki I,,,,,,
,JPN102,,Oki,Oki II,,,,,,
,JPN103,,Oki,Oki III,,,,,,
,JPN104,,Oki,Oki IV,,,,,,
,JPN105,,Oki,Oki V,,,,,,
,JPN106,,Oki,Oki VI,,,,,,
,ken033,x,Oloirien,,,,,,,
,ken034,,Oloirien,,,,,,,
,JPN038,x,Omegura,Omegura Group General,,,,,,
,JPN107,,Omegura,Omegura I,,,,,,
,JPN108,,Omegura,Omegura II,,,,,,
,JPN109,,Omegura,Omegura II,,,,,,
,JPN110,,Omegura,Omegura IV,,,,,,
,ken37,x,Oserian,,,,,,,
,ken38,,Oserian,,,,,,,
,CHI004,x,Paektusan,Paektusan Volcano 1,,,,,,
,CHI005,,Paektusan,Paektusan Volcano 2,,,,,,
,CHI013,,Paektusan,Paektusan Volcano Group General,,,,,,
,png028,x,,,,,,,,
,PNG049,,Pam Islands,Pam Mandian,,,,,,
,PNG050,,Pam Islands,Pam Islands Group General,,,,,,
,ARG025,x,Pampa del Asador,Pampa del Asador 1,,,,,,
,ARG026,,Pampa del Asador,Pampa del Asador 2,,,,,,
,ARG027,,Pampa del Asador,Pampa del Asador 3,,,,,,
,ITL006,x,Pantelleria,Pantelleria Group General,,,,,,
,ITL015,,Pantelleria,Pantelleria - Balata dei Turchi,,,,,,
,ITL016,,Pantelleria,Pantelleria - Lago di Venere,,,,,,
,ITL017,,Pantelleria,Pantelleria - Salto la Vecchia,,,,,,
,UCA062,x,Paradise Ridge,Paradise Ridge Group General,,,,,,
,UCA073,,Paradise Ridge,Paradise Ridge 1,,,,,,
,UCA074,,Paradise Ridge,Paradise Ridge 2,,,,,,
,MEX026,x,Penjamo,Penjamo-1,,,,,,
,MEX027,,Penjamo,Penjamo-2,,,,,,
,UOR100,x,Quartz Mountain,Quartz Mountain A,,,,,,
,UOR101,,Quartz Mountain,Quartz Mountain B,,,,,,
,UOR138,,Quartz Mountain,Quartz Mountain Group General,,,,,,
,RPN003,x,Rano Kau,Rano Kau I,,,,,,
